idno,essround,male,age,edu,eth_major,income_10,cntry,vote,country,p5,cyear,ccode,scode,year,flag,fragment,democ,autoc
200001625,2010,0,15,1,1,7,SE,3,Sweden,0,3802010,380,SWD,2010,0,0,10,0
1768,2010,0,15,1,1,7,EE,3,Estonia,1,3662010,366,EST,2010,0,0,9,0
1655,2010,0,15,1,1,8,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
2327,2010,0,15,1,1,8,BG,3,Bulgaria,1,3552010,355,BUL,2010,0,0,9,0
12576,2010,0,15,1,1,8,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
10930,2010,0,15,1,1,8,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
200001663,2010,0,15,1,1,8,SE,3,Sweden,0,3802010,380,SWD,2010,0,0,10,0
446663,2010,0,15,1,1,8,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
301557,2010,0,15,1,1,9,DK,3,Denmark,0,3902010,390,DEN,2010,0,0,10,0
1086,2010,0,15,1,1,9,EE,2,Estonia,1,3662010,366,EST,2010,0,0,9,0
201830,2010,0,15,1,1,9,DK,3,Denmark,0,3902010,390,DEN,2010,0,0,10,0
11256,2010,0,15,1,1,10,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
1896,2010,0,15,1,1,10,EE,2,Estonia,1,3662010,366,EST,2010,0,0,9,0
2677,2010,0,15,1,1,10,PL,3,Poland,0,2902010,290,POL,2010,0,0,10,0
1646,2010,0,15,1,1,10,NO,3,Norway,0,3852010,385,NOR,2010,0,0,10,0
200001855,2010,0,15,1,1,10,SE,3,Sweden,0,3802010,380,SWD,2010,0,0,10,0
308745,2010,0,15,1,1,10,DK,3,Denmark,0,3902010,390,DEN,2010,0,0,10,0
1994,2010,0,15,1,0,NA,PT,3,Portugal,0,2352010,235,POR,2010,0,0,10,0
500971,2010,0,15,1,0,NA,NL,3,Netherlands,0,2102010,210,NTH,2010,0,0,10,0
32244298,2010,0,15,1,0,NA,GB,3,United Kingdom,0,2002010,200,UKG,2010,0,0,10,0
103898,2010,0,15,1,0,NA,DK,3,Denmark,0,3902010,390,DEN,2010,0,0,10,0
2402,2010,0,15,1,0,NA,BG,3,Bulgaria,1,3552010,355,BUL,2010,0,0,9,0
119104,2010,0,15,1,1,NA,SK,3,Slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA
502776,2010,0,15,1,1,NA,NL,3,Netherlands,0,2102010,210,NTH,2010,0,0,10,0
132403,2010,0,15,1,1,NA,BE,3,Belgium,1,2112010,211,BEL,2010,0,0,8,0
12355,2010,0,15,1,1,NA,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
12192,2010,0,15,1,1,NA,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
10401,2010,0,15,1,1,NA,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
124001,2010,0,15,1,1,NA,BE,3,Belgium,1,2112010,211,BEL,2010,0,0,8,0
502901,2010,0,15,1,1,NA,NL,3,Netherlands,0,2102010,210,NTH,2010,0,0,10,0
200001300,2010,0,15,1,1,NA,SE,3,Sweden,0,3802010,380,SWD,2010,0,0,10,0
200001960,2010,0,15,1,1,NA,SE,3,Sweden,0,3802010,380,SWD,2010,0,0,10,0
303339,2010,0,15,1,1,NA,DK,3,Denmark,0,3902010,390,DEN,2010,0,0,10,0
1912,2010,0,15,1,1,NA,NO,3,Norway,0,3852010,385,NOR,2010,0,0,10,0
502369,2010,0,15,1,1,NA,NL,3,Netherlands,0,2102010,210,NTH,2010,0,0,10,0
2062,2010,0,15,1,1,NA,PT,3,Portugal,0,2352010,235,POR,2010,0,0,10,0
941,2010,0,15,1,1,NA,SI,2,Slovenia,0,3492010,349,SLV,2010,0,0,10,0
8415,2010,0,15,1,1,NA,PL,3,Poland,0,2902010,290,POL,2010,0,0,10,0
2700,2010,0,15,1,1,NA,CH,3,Switzerland,0,2252010,225,SWZ,2010,0,0,10,0
200001875,2010,0,15,1,1,NA,SE,3,Sweden,0,3802010,380,SWD,2010,0,0,10,0
1911,2010,0,15,1,1,NA,EE,3,Estonia,1,3662010,366,EST,2010,0,0,9,0
9148,2010,0,15,1,1,NA,PL,3,Poland,0,2902010,290,POL,2010,0,0,10,0
100801,2010,0,15,1,1,NA,BE,3,Belgium,1,2112010,211,BEL,2010,0,0,8,0
355,2010,0,15,1,1,NA,CZ,3,Czech Republic,1,3162010,316,CZR,2010,0,0,9,0
10035,2010,0,15,1,1,NA,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
11010,2010,0,15,1,1,NA,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
389835,2010,0,15,1,1,NA,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
12866,2010,0,15,1,1,NA,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
21855700,2010,0,15,1,1,NA,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
12906,2010,0,15,1,1,NA,FI,3,Finland,0,3752010,375,FIN,2010,0,0,10,0
2351,2010,0,15,1,1,NA,ES,3,Spain,0,2302010,230,SPN,2010,0,0,10,0
300002628,2010,0,15,1,1,NA,SE,3,Sweden,0,3802010,380,SWD,2010,0,0,10,0
3191,2010,0,15,1,1,NA,PL,3,Poland,0,2902010,290,POL,2010,0,0,10,0
35896000,2010,0,15,1,1,NA,DE,3,Germany,0,2552010,255,GMY,2010,0,0,10,0
